iter	Passed	Remaining
0	0	90
1	1	76
2	2	71
3	2	66
4	3	65
5	4	63
6	4	61
7	5	60
8	5	59
9	6	59
10	7	61
11	8	60
12	8	59
13	9	58
14	10	58
15	10	57
16	11	56
17	12	55
18	12	54
19	13	54
20	14	53
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	45
32	22	44
33	22	44
34	23	43
35	24	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	38
41	27	37
42	27	36
43	28	36
44	29	35
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	28
55	36	28
56	37	27
57	37	27
58	38	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	53	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	57	10
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
